"Function / Call Stack","Function (Full)","Effective Time by Utilization","Imbalance or Serial Spinning (OpenMP)","Lock Contention (OpenMP)","Other","Creation (OpenMP)","Scheduling (OpenMP)","Reduction (OpenMP)","Atomics (OpenMP)","Other","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Source File","Start Address"
"[MKL PARDISO]@fwd_omp_mic_real","mkl_pds_fwd_omp_mic_real","0.230183","0","0","0","0","0","0","0","0","25220000000","0.391753","1.1875","dd3imp_therm.exe","","0xb67520"
"[MKL PARDISO]@blkslv_omp_mic_real","mkl_pds_blkslv_omp_mic_real","0.215796","0","0","0","0","0","0","0","0","3900000000","3.13333","1.56667","dd3imp_therm.exe","","0x998110"
"__libm_sse2_pow","__libm_sse2_pow","0.215796","0","0","0","0","0","0","0","0","20540000000","0.708861","1.86667","dd3imp_therm.exe","","0x71f390"
"__intel_memset","__intel_memset","0.208603","0","0","0","0","0","0","0","0","2860000000","2.54545","0.965517","dd3imp_therm.exe","","0x73941d"
"SYSCOE","SYSCOE","0.20141","0","0","0","0","0","0","0","0","13520000000","0.961538","1.78571","dd3imp_therm.exe","syscoe.for","0x6234b0"
"STACTU1A","STACTU1A","0.20141","0","0","0","0","0","0","0","0","2860000000","2.27273","0.892857","dd3imp_therm.exe","stactu1a.for","0x443030"
"FSHAPE","FSHAPE","0.194217","0","0","0","0","0","0","0","0","18720000000","0.430556","1.14815","dd3imp_therm.exe","fshape.for","0x6659d0"
"[MKL PARDISO]@bwd_omp_mic_real","mkl_pds_bwd_omp_mic_real","0.187023","0","0","0","0","0","0","0","0","11180000000","0.488372","0.807692","dd3imp_therm.exe","","0xb65ab0"
"[MKL BLAS]@xdswap","mkl_blas_avx2_xdswap","0.187023","0","0","0","0","0","0","0","0","10140000000","1","1.5","dd3imp_therm.exe","","0xe679e0"
"PMIDCA","PMIDCA","0.187023","0","0","0","0","0","0","0","0","8840000000","0.588235","0.769231","dd3imp_therm.exe","pmidca.for","0x624db0"
"STRESS","STRESS","0.17983","0","0","0","0","0","0","0","0","7020000000","0.777778","0.84","dd3imp_therm.exe","stress_solid.for","0x5c5ab0"
"FORMGF","FORMGF","0.165444","0","0","0","0","0","0","0","0","15080000000","0.327586","0.826087","dd3imp_therm.exe","formgf.for","0x504750"
"[MKL BLAS]@xdgemm_par","mkl_blas_avx2_xdgemm_par","0.165444","0","0","0","0","0","0","0","0","6500000000","0.56","0.608696","dd3imp_therm.exe","","0x1743400"
"ROTCEF","ROTCEF","0.165444","0","0","0","0","0","0","0","0","10400000000","0.625","1.08696","dd3imp_therm.exe","rotcef.for","0x421eb0"
"NORMAL","NORMAL","0.158251","0","0","0","0","0","0","0","0","9100000000","1.02857","1.63636","dd3imp_therm.exe","normal.for","0x452b50"
"ELASTICITY","ELASTICITY","0.151057","0","0","0","0","0","0","0","0","12480000000","0.708333","1.61905","dd3imp_therm.exe","ELASTICITY.for","0x452bf0"
"func@0x6b101e50","func@0x6b101e50","0.129478","0","0","0","0","0","0","0","0","0","","1.38889","wow64cpu.dll","","0x6b101e50"
"[MKL PARDISO]@dss_factor","mkl_pds_dss_factor","0.100705","0","0","0","0","0","0","0","0","2600000000","2","1.42857","dd3imp_therm.exe","","0x74438c"
"PROJRI","PROJRI","0.100705","0","0","0","0","0","0","0","0","2080000000","0.375","0.214286","dd3imp_therm.exe","projri.for","0x44eae0"
"GRNGUV","GRNGUV","0.0935117","0","0","0","0","0","0","0","0","7280000000","0.357143","0.769231","dd3imp_therm.exe","grnguv.for","0x44f610"
"[MKL BLAS]@xdger","mkl_blas_avx2_xdger","0.0935117","0","0","0","0","0","0","0","0","5460000000","0.333333","0.538462","dd3imp_therm.exe","","0xe6e690"
"VE5TE6","VE5TE6","0.0863185","0","0","0","0","0","0","0","0","2080000000","1","0.666667","dd3imp_therm.exe","ve5te6.for","0x4ac530"
"STITE1A","STITE1A","0.0863185","0","0","0","0","0","0","0","0","7020000000","0.962963","2.16667","dd3imp_therm.exe","stite1a.for","0x5b7fd0"
"STGEM1A","STGEM1A","0.0791253","0","0","0","0","0","0","0","0","2080000000","1.5","1.09091","dd3imp_therm.exe","stgem1a.for","0x4c6a80"
"PATCHBOX","PATCHBOX","0.0791253","0","0","0","0","0","0","0","0","2080000000","2.5","1.81818","dd3imp_therm.exe","patchbox.for","0x5432b0"
"SYMTEN","SYMTEN","0.0791253","0","0","0","0","0","0","0","0","3380000000","0.846154","1","dd3imp_therm.exe","symten.for","0x443140"
"DET","DET","0.0719321","0","0","0","0","0","0","0","0","8060000000","0.83871","2.6","dd3imp_therm.exe","functions.for","0x6070f0"
"[MKL BLAS]@dtrsm_has_denormal","mkl_blas_avx2_dtrsm_has_denormal","0.0719321","0","0","0","0","0","0","0","0","520000000","4.5","0.9","dd3imp_therm.exe","","0x2200c10"
"[MKL BLAS]@dgemm_ker0","mkl_blas_avx2_dgemm_ker0","0.0647389","0","0","0","0","0","0","0","0","1560000000","1.16667","0.777778","dd3imp_therm.exe","","0x29201f0"
"CONIND","CONIND","0.0647389","0","0","0","0","0","0","0","0","4420000000","1.23529","2.33333","dd3imp_therm.exe","conind.for","0x450fd0"
"STRAIN","STRAIN","0.0647389","0","0","0","0","0","0","0","0","3380000000","1.38462","2","dd3imp_therm.exe","strain.for","0x433c60"
"STPLIN","STPLIN","0.0647389","0","0","0","0","0","0","0","0","1820000000","1.42857","1.11111","dd3imp_therm.exe","stplin.for","0x437ed0"
"ROTINV","ROTINV","0.0575457","0","0","0","0","0","0","0","0","2080000000","1.375","1.375","dd3imp_therm.exe","rotinv.for","0x44c830"
"[MKL BLAS]@dswap","mkl_blas_dswap","0.0575457","0","0","0","0","0","0","0","0","1040000000","2.5","1.25","dd3imp_therm.exe","","0xb2c280"
"TE6VE5","TE6VE5","0.0575457","0","0","0","0","0","0","0","0","1040000000","1.5","0.75","dd3imp_therm.exe","te6ve5.for","0x639370"
"func@0x2208140","func@0x2208140","0.0575457","0","0","0","0","0","0","0","0","0","","1.125","dd3imp_therm.exe","","0x2208140"
"PROJMA","PROJMA","0.0503525","0","0","0","0","0","0","0","0","3900000000","0.933333","2","dd3imp_therm.exe","projma.for","0x448280"
"MATIN3","MATIN3","0.0503525","0","0","0","0","0","0","0","0","1820000000","0.857143","0.857143","dd3imp_therm.exe","matin3.for","0x458e60"
"[MKL BLAS]@dgemm_get_bufs","mkl_blas_avx2_dgemm_get_bufs","0.0503525","0","0","0","0","0","0","0","0","1560000000","0.333333","0.285714","dd3imp_therm.exe","","0x291fc10"
"ITEREQ","ITEREQ","0.0431593","0","0","0","0","0","0","0","0","1560000000","1.5","1.5","dd3imp_therm.exe","itereq.for","0x5a5f50"
"GENEDU","GENEDU","0.0431593","0","0","0","0","0","0","0","0","1560000000","1","1","dd3imp_therm.exe","genedu.for","0x49c7f0"
"CROSS","CROSS","0.0431593","0","0","0","0","0","0","0","0","4680000000","0.611111","1.83333","dd3imp_therm.exe","cross.for","0x43a610"
"FORCEP","FORCEP","0.0431593","0","0","0","0","0","0","0","0","520000000","2.5","0.833333","dd3imp_therm.exe","forcep.for","0x504b60"
"THERM_DETCTES","THERM_DETCTES","0.0431593","0","0","0","0","0","0","0","0","780000000","1","0.5","dd3imp_therm.exe","Therm_detCTEs.for","0x488cd0"
"func@0x220a000","func@0x220a000","0.0431593","0","0","0","0","0","0","0","0","260000000","8","1.33333","dd3imp_therm.exe","","0x220a000"
"func@0x2203ce0","func@0x2203ce0","0.0431593","0","0","0","0","0","0","0","0","0","","1.33333","dd3imp_therm.exe","","0x2203ce0"
"GESTAE$omp$parallel@100","GESTAE$omp$parallel@100","0.035966","0","0","0","0","0","0","0","0","1820000000","1.14286","1.6","dd3imp_therm.exe","gestae.for","0x4c0505"
"PROD","PROD","0.035966","0","0","0","0","0","0","0","0","1560000000","3.33333","4","dd3imp_therm.exe","prod.for","0x4417c0"
"DPDOT","DPDOT","0.035966","0","0","0","0","0","0","0","0","260000000","7","1.4","dd3imp_therm.exe","functions.for","0x607170"
"[MKL LAPACK]@xdlaswp","mkl_lapack_xdlaswp","0.035966","0","0","0","0","0","0","0","0","520000000","0.5","0.2","dd3imp_therm.exe","","0xcd7cd0"
"ROTATE","ROTATE","0.035966","0","0","0","0","0","0","0","0","2080000000","1.375","2.2","dd3imp_therm.exe","rotate.for","0x42a540"
"VOIT56","VOIT56","0.035966","0","0","0","0","0","0","0","0","3120000000","0.416667","1","dd3imp_therm.exe","voit56.for","0x4fe2b0"
"GESTAE","GESTAE","0.035966","0","0","0","0","0","0","0","0","780000000","2","1.2","dd3imp_therm.exe","gestae.for","0x4bfea0"
"TurboDispatchJumpAddressStart","TurboDispatchJumpAddressStart","0.0287728","0","0","0","0","0","0","0","0","0","","1.5","wow64cpu.dll","","0x6b101913"
"InterlockedCompareExchangeStub","InterlockedCompareExchangeStub","0.0287728","0","0","0","0","0","0","0","0","780000000","2","1.5","kernel32.dll","","0x6b823a10"
