"Function / Call Stack","Function (Full)","Effective Time by Utilization","Imbalance or Serial Spinning (OpenMP)","Lock Contention (OpenMP)","Other","Creation (OpenMP)","Scheduling (OpenMP)","Reduction (OpenMP)","Atomics (OpenMP)","Other","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Source File","Start Address"
"QROT","QROT","0.00719321","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","qrot.for","0x443810"
"[MKL BLAS]@dgemm_copybt","mkl_blas_avx2_dgemm_copybt","0.00719321","0","0","0","0","0","0","0","0","260000000","1","1","dd3imp_therm.exe","","0x29201a0"
"GESTAT$omp$parallel@36","GESTAT$omp$parallel@36","0.00719321","0","0","0","0","0","0","0","0","520000000","0","0","dd3imp_therm.exe","gestat.for","0x4ad6de"
"for_write_seq_fmt","for_write_seq_fmt","0.00719321","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","","0x66e540"
"[MKL BLAS]@xdtrsm","mkl_blas_xdtrsm","0.00719321","0","0","0","0","0","0","0","0","520000000","1","2","dd3imp_therm.exe","","0xcd8650"
"[MKL SERVICE]@cache_info","mkl_serv_cache_info","0.00719321","0","0","0","0","0","0","0","0","0","0","0","dd3imp_therm.exe","","0xceda80"
"[MKL SERVICE]@cbwr_get","mkl_serv_cbwr_get","0.00719321","0","0","0","0","0","0","0","0","0","","1","dd3imp_therm.exe","","0x76a690"
"GENODISBE","GENODISBE","0.00719321","0","0","0","0","0","0","0","0","0","","1","dd3imp_therm.exe","genoDISBE.for","0x4ae180"
"[MKL PARDISO]@sssslv_pardiso","mkl_pds_sssslv_pardiso","0.00719321","0","0","0","0","0","0","0","0","1560000000","0","0","dd3imp_therm.exe","","0x80efb0"
"_intel_fast_memset","_intel_fast_memset","0.00719321","0","0","0","0","0","0","0","0","0","0","0","dd3imp_therm.exe","","0x7293f0"
"__intel_memcpy","__intel_memcpy","0.00719321","0","0","0","0","0","0","0","0","260000000","1","1","dd3imp_therm.exe","","0x739cac"
"QTROT","QTROT","0.00719321","0","0","0","0","0","0","0","0","0","","1","dd3imp_therm.exe","qtrot.for","0x441730"
"IMPVE","IMPVE","0.00719321","0","0","0","0","0","0","0","0","0","0","0","dd3imp_therm.exe","impve.for","0x55f010"
"[MKL PARDISO]@kgiqsort_pardiso","mkl_pds_kgiqsort_pardiso","0.00719321","0","0","0","0","0","0","0","0","0","0","0","dd3imp_therm.exe","","0x845920"
"__kmp_wait_yield_4","__kmp_wait_yield_4","0","0","192.644","0","0","0","0","0","0","321100000000","1.96194","1.26067","libiomp5md.dll","","0x100382a0"
"__kmp_x86_pause","__kmp_x86_pause","0","152.351","0","0","0","0","0","0","0","137800000000","3.76981","1.31447","libiomp5md.dll","","0x10091520"
"SleepStub","SleepStub","0","0","0","1.30301","0","0","0","0","0","0","","1.23077","kernel32.dll","","0x6b8177b0"
"__kmp_yield","__kmp_yield","0","76.7771","0","0","0","0","0","0","0","325780000000","0.727055","1.1893","libiomp5md.dll","","0x10093b00"
"__kmp_barrier","__kmp_barrier","0","8.41942","0","0","0","0","0","0","0","21840000000","1.13095","1.13095","libiomp5md.dll","","0x10029ed0"
"func@0x1000b390","func@0x1000b390","0","0","0","0","0","0","0","0","0","260000000","0","0","ittnotify_collector.dll","","0x1000b390"
"func@0x1000d0a0","func@0x1000d0a0","0","0","0","0","0","0","0","0","0","260000000","0","0","ittnotify_collector.dll","","0x1000d0a0"
"NtDelayExecution","NtDelayExecution","0","0","0","46.6075","0","0","0","0","0","11960000000","12.9783","1.28387","ntdll.dll","","0x4b2e8e40"
"RtlQueryPerformanceCounter","RtlQueryPerformanceCounter","0","0","0","0","0","0","0","0","0","260000000","0","0","ntdll.dll","","0x4b2d5140"
"__kmp_eq_4","__kmp_eq_4","0","0","37.7872","0","0","0","0","0","0","97760000000","1.36702","1.3634","libiomp5md.dll","","0x10038200"
"__kmp_join_barrier","__kmp_join_barrier(int)","0","1.10254","0","0","0","0","0","0","0","5720000000","1.31818","2.63636","libiomp5md.dll","","0x1002f9d0"
"__kmpc_critical","__kmpc_critical","0","0","0.501156","0","0","0","0","0","0","260000000","8","1.6","libiomp5md.dll","","0x100323c0"
"__kmpc_end_critical","__kmpc_end_critical","0","0","0","0","0","0","0","0","0.300694","260000000","3","1","libiomp5md.dll","","0x100328c0"
"__kmp_release_queuing_lock","__kmp_release_queuing_lock","0","0","0.601387","0","0","0","0","0","0","780000000","2.33333","1.16667","libiomp5md.dll","","0x100507a0"
"__kmp_compare_and_store32","__kmp_compare_and_store32","0","0","0","0","0","0","0","0","1.10254","1040000000","3","1.09091","libiomp5md.dll","","0x100915b0"
"__kmp_get_global_thread_id_reg","__kmp_get_global_thread_id_reg","0","0","0","0","0","0","0","0","0.100231","520000000","2.5","5","libiomp5md.dll","","0x10058ae0"
"__kmp_acquire_queuing_lock","__kmp_acquire_queuing_lock","0","0","0.80185","0","0","0","0","0","0","2340000000","1.66667","1.875","libiomp5md.dll","","0x10050200"
"__kmp_compare_and_store64","__kmp_compare_and_store64","0","0","0","0","0","0","0","0","0","260000000","1","","libiomp5md.dll","","0x100915d0"
"__kmpc_global_thread_num","__kmpc_global_thread_num","0","0","0","0","0","0","0","0","0.100231","260000000","0","0","libiomp5md.dll","","0x10031720"
"__kmp_test_then_add64","__kmp_test_then_add64","0","0","0","0","0","0","0","0","0.100231","0","0","0","libiomp5md.dll","","0x10091960"
"__kmpc_ok_to_fork","__kmpc_ok_to_fork","0","0","0","0","0","0","0","0","0.100231","0","0","0","libiomp5md.dll","","0x10031780"
"RtlpTryAcquireSubSegmentLock","RtlpTryAcquireSubSegmentLock","0","0","0","0","0","0","0","0","0","260000000","0","0","ntdll.dll","","0x4b2bcb30"
"RtlEnterCriticalSection","RtlEnterCriticalSection","0","0","0","0","0","0","0","0","0","260000000","0","0","ntdll.dll","","0x4b2c5a00"
"memset","memset","0","0","0","0","0","0","0","0","0","260000000","0","0","ntdll.dll","","0x4b2eee00"
"func@0x100c7117","func@0x100c7117","0","0","0","0","0","0","0","0","0","260000000","1","","libiomp5md.dll","","0x100c7117"
"__kmp_fork_call","__kmp_fork_call","0","0","0","0","0","0","0","0","0","260000000","0","0","libiomp5md.dll","","0x1005d0bc"
"__kmp_join_call","__kmp_join_call","0","0","0","0","0","0","0","0","0","260000000","0","0","libiomp5md.dll","","0x10060f1c"
"SleepEx","SleepEx","0","0","0","45.2043","0","0","0","0","0","43160000000","3.54819","1.30599","kernelbase.dll","","0x100b14d0"
"Sleep","Sleep","0","0","0","13.5312","0","0","0","0","0","6760000000","6.11538","1.17778","kernelbase.dll","","0x100b14b0"
"GIDOUT","GIDOUT","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","GIDout.for","0x57cb10"
"alldiv","alldiv","0","0","0","0","0","0","0","0","0","260000000","1","","dd3imp_therm.exe","lldiv.asm","0x2bc38a0"
"EIGENV","EIGENV","0","0","0","0","0","0","0","0","0","1300000000","0.6","","dd3imp_therm.exe","eigen.for","0x423900"
"IMPCOE","IMPCOE","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","impcoe.for","0x475d10"
"cvt_ieee_t_to_text_ex","cvt_ieee_t_to_text_ex","0","0","0","0","0","0","0","0","0","780000000","0","0","dd3imp_therm.exe","","0x6f6780"
"[MKL PARDISO]@metis_randompermute","mkl_pds_metis_randompermute","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","","0x78dbf0"
"CALCOP","CALCOP","0","0","0","0","0","0","0","0","0","1560000000","0.5","","dd3imp_therm.exe","calcop.for","0x42f750"
"ITEREQ$omp$parallel@275","ITEREQ$omp$parallel@275","0","0","0","0","0","0","0","0","0","780000000","1.66667","","dd3imp_therm.exe","itereq.for","0x5a7866"
"[MKL BLAS]@dgemm_zero_desc","mkl_blas_avx2_dgemm_zero_desc","0","0","0","0","0","0","0","0","0","260000000","2","","dd3imp_therm.exe","","0x1740780"
"[MKL BLAS]@dgemm_get_optimal_kernel","mkl_blas_avx2_dgemm_get_optimal_kernel","0","0","0","0","0","0","0","0","0","520000000","6","","dd3imp_therm.exe","","0x1740a50"
"[MKL BLAS]@dgemm_nn_4x8_m1_1_u","mkl_blas_avx2_dgemm_nn_4x8_m1_1_u","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","","0x2712ce0"
"[MKL BLAS]@dger","mkl_blas_dger","0","0","0","0","0","0","0","0","0","1560000000","0.333333","","dd3imp_therm.exe","","0xb2ca00"
"[MKL PARDISO]@get_jpanel","mkl_pds_get_jpanel","0","0","0","0","0","0","0","0","0","520000000","3","","dd3imp_therm.exe","","0xcb4520"
"cvt_integer_to_text","cvt_integer_to_text","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","","0x6f1a70"
"GLOREA","GLOREA","0","0","0","0","0","0","0","0","0","260000000","1","","dd3imp_therm.exe","glorea.for","0x4ec5d0"
"[MKL BLAS]@dgemm_nn_16x16_m1_1_u","mkl_blas_avx2_dgemm_nn_16x16_m1_1_u","0","0","0","0","0","0","0","0","0","520000000","1","","dd3imp_therm.exe","","0x270c530"
"FORCON","FORCON","0","0","0","0","0","0","0","0","0","260000000","2","","dd3imp_therm.exe","forcon.for","0x444750"
"[MKL PARDISO]@solve_pardiso","mkl_pds_solve_pardiso","0","0","0","0","0","0","0","0","0","260000000","1","","dd3imp_therm.exe","","0x7d9c20"
"[MKL BLAS]@xdgemv","mkl_blas_xdgemv","0","0","0","0","0","0","0","0","0","520000000","0.5","","dd3imp_therm.exe","","0xcd8c60"
"DERIDR","DERIDR","0","0","0","0","0","0","0","0","0","520000000","1","","dd3imp_therm.exe","deridr.for","0x44f820"
"[MKL BLAS]@dgemm_dcopy_right2_ea","mkl_blas_avx2_dgemm_dcopy_right2_ea","0","0","0","0","0","0","0","0","0","260000000","1","","dd3imp_therm.exe","","0x2af0500"
"TESTEQ","TESTEQ","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","testeq.for","0x56e1e0"
"BITRANS","BITRANS","0","0","0","0","0","0","0","0","0","520000000","1","","dd3imp_therm.exe","bitrans.for","0x43a6a0"
"security_check_cookie","security_check_cookie","0","0","0","0","0","0","0","0","0","520000000","1","","dd3imp_therm.exe","","0x2bc32f3"
"GLSTRAINT","GLSTRAINT","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","GLstrainT.for","0x500ac0"
"__svml_log2_n9","__svml_log2_n9","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","","0x73f340"
"TANGSM","TANGSM","0","0","0","0","0","0","0","0","0","260000000","1","","dd3imp_therm.exe","tangsm.for","0x5a2c40"
"DATA2NODE","DATA2NODE","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","outELM4all.for","0x4d8830"
"[MKL BLAS]@xdger","mkl_blas_xdger","0","0","0","0","0","0","0","0","0","520000000","0","0","dd3imp_therm.exe","","0xcee060"
"for__acquire_lun","for__acquire_lun","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","","0x6be120"
"GRNGDX","GRNGDX","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","grngdx.for","0x428500"
"[MKL PARDISO]@kgjmerge","mkl_pds_kgjmerge","0","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","","0x8471bc"
"for__format_value","for__format_value","0","0","0","0","0","0","0","0","0","260000000","1","","dd3imp_therm.exe","","0x6d53f0"
